Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,30,935.3,288,643,123,313,107,128,806,1,51,0.447900466562986,0.3929712460063898,0.8359375,0.8617555864428526,0.558936404189792,0.03333333333333333,1.7
,,64,1948.9,635,1208,83,246,325,403,1678,9,80,0.5256622516556292,0.33739837398373984,0.8064516129032258,0.8609985119811175,0.5565040795141982,0.140625,1.25
,,61,2047.3,581,1255,171,541,426,562,1759,14,60,0.46294820717131474,0.31608133086876156,0.7580071174377224,0.8591803839202853,0.5123455518259329,0.22950819672131148,0.9836065573770492
,,2,29.1,7,10,5,7,6,6,25,0,0,0.7,0.7142857142857143,1.0,0.8591065292096219,0.8047619047619047,0.0,0.0
,,72,2550.8,651,1449,265,722,624,727,2191,50,126,0.4492753623188406,0.3670360110803324,0.8583218707015131,0.858946212952799,0.5582110813668953,0.6944444444444444,1.75
,,33,1151.2,367,684,133,268,121,140,988,22,37,0.5365497076023392,0.4962686567164179,0.8642857142857143,0.8582348853370396,0.6323680262014905,0.6666666666666666,1.121212121212121
,,76,2568.5,682,1473,245,646,590,649,2199,13,70,0.46300067888662594,0.37925696594427244,0.9090909090909091,0.8561417169554214,0.5837828513072691,0.17105263157894737,0.9210526315789473
,,14,579.8,159,312,27,81,149,199,494,12,23,0.5096153846153846,0.3333333333333333,0.7487437185929648,0.852017937219731,0.5305641455138942,0.8571428571428571,1.6428571428571428
,,2,43.5,13,22,3,5,8,11,37,2,0,0.5909090909090909,0.6,0.7272727272727273,0.8505747126436781,0.6393939393939394,1.0,0.0
,,4,62.5,16,33,1,1,20,25,53,5,1,0.48484848484848486,1.0,0.8,0.848,0.7616161616161617,1.25,0.25
,,57,2053.2,593,1303,170,481,385,457,1741,23,71,0.4551036070606293,0.35343035343035345,0.8424507658643327,0.8479446717319307,0.5503282421184384,0.40350877192982454,1.2456140350877194
,,44,1579.9,445,874,184,415,265,296,1339,2,67,0.5091533180778032,0.4433734939759036,0.8952702702702703,0.8475219950629787,0.615932360774659,0.045454545454545456,1.5227272727272727
,,62,1855.7,595,1072,63,143,319,376,1572,26,77,0.5550373134328358,0.4405594405594406,0.848404255319149,0.8471196852939591,0.6146670031038085,0.41935483870967744,1.2419354838709677
,,72,2358.4,721,1247,52,203,500,686,1994,110,92,0.5781876503608661,0.2561576354679803,0.7288629737609329,0.8454884667571234,0.5210694198632598,1.5277777777777777,1.2777777777777777
,,18,538.8,166,334,37,84,86,102,455,4,23,0.49700598802395207,0.44047619047619047,0.8431372549019608,0.8444691907943579,0.5935398111340344,0.2222222222222222,1.2777777777777777
,,18,315.1,99,214,18,68,50,60,266,6,17,0.46261682242990654,0.2647058823529412,0.8333333333333334,0.8441764519200253,0.5202186793720603,0.3333333333333333,0.9444444444444444
,,36,1495.6,482,912,134,328,163,194,1261,22,81,0.5285087719298246,0.40853658536585363,0.8402061855670103,0.8431398769724526,0.5924171809542296,0.6111111111111112,2.25
,,32,1197.3,414,624,0,0,181,277,1009,23,67,0.6634615384615384,0.0,0.6534296028880866,0.8427294746512988,0.4389637137832083,0.71875,2.09375
,,43,1070.8,325,669,67,240,184,221,901,8,38,0.4857997010463378,0.2791666666666667,0.832579185520362,0.8414269704893538,0.5325151844111221,0.18604651162790697,0.8837209302325582
