Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,14,271.3,40,53,0,0,17,33,97,0,6,0.7547169811320755,0.0,0.5151515151515151,0.35753778105418355,0.42328949876119687,0.0,0.42857142857142855
,,17,307.3,49,65,0,2,18,25,116,7,6,0.7538461538461538,0.0,0.72,0.37748128864301983,0.49128205128205127,0.4117647058823529,0.35294117647058826
,,19,344.4,49,65,0,0,21,41,119,15,6,0.7538461538461538,0.0,0.5121951219512195,0.3455284552845529,0.42201375859912443,0.7894736842105263,0.3157894736842105
,,41,822.8,121,161,0,1,50,73,292,77,15,0.7515527950310559,0.0,0.684931506849315,0.3548857559552747,0.4788281006267903,1.8780487804878048,0.36585365853658536
,,16,330.4,42,56,1,3,17,36,102,23,14,0.75,0.3333333333333333,0.4722222222222222,0.30871670702179177,0.5185185185185185,1.4375,0.875
,,10,90.4,3,4,0,0,0,0,6,1,4,0.75,0.0,0.0,0.0663716814159292,0.25,0.1,0.4
,,10,25.1,3,4,0,0,0,0,6,0,2,0.75,0.0,0.0,0.2390438247011952,0.25,0.0,0.2
,,7,142.2,24,32,0,0,8,14,56,5,2,0.75,0.0,0.5714285714285714,0.3938115330520394,0.44047619047619047,0.7142857142857143,0.2857142857142857
,,7,61.0,6,8,0,0,9,10,21,0,2,0.75,0.0,0.9,0.3442622950819672,0.5499999999999999,0.0,0.2857142857142857
,,8,80.6,6,8,2,3,2,2,16,0,3,0.75,0.6666666666666666,1.0,0.19851116625310175,0.8055555555555555,0.0,0.375
,,38,624.0,114,152,0,1,33,42,261,23,28,0.75,0.0,0.7857142857142857,0.4182692307692308,0.5119047619047619,0.6052631578947368,0.7368421052631579
,,18,97.3,12,16,0,0,0,3,24,2,2,0.75,0.0,0.0,0.24665981500513876,0.25,0.1111111111111111,0.1111111111111111
,,10,258.2,54,72,0,0,23,29,131,18,9,0.75,0.0,0.7931034482758621,0.5073586367157242,0.514367816091954,1.8,0.9
,,15,46.8,6,8,1,1,0,0,13,0,3,0.75,1.0,0.0,0.2777777777777778,0.5833333333333334,0.0,0.2
,,13,69.2,6,8,0,0,2,2,14,1,2,0.75,0.0,1.0,0.20231213872832368,0.5833333333333334,0.07692307692307693,0.15384615384615385
,,24,431.8,57,76,0,0,45,58,159,11,16,0.75,0.0,0.7758620689655172,0.3682260305697082,0.5086206896551725,0.4583333333333333,0.6666666666666666
,,12,207.3,30,40,0,0,16,35,76,12,22,0.75,0.0,0.45714285714285713,0.3666184273999035,0.40238095238095234,1.0,1.8333333333333333
,,15,193.8,21,28,0,1,11,21,53,1,5,0.75,0.0,0.5238095238095238,0.27347781217750256,0.4246031746031746,0.06666666666666667,0.3333333333333333
,,4,64.8,12,16,1,2,4,6,29,1,3,0.75,0.5,0.6666666666666666,0.4475308641975309,0.6388888888888888,0.25,0.75
,,16,339.3,68,91,0,0,30,58,166,7,7,0.7472527472527473,0.0,0.5172413793103449,0.48924255820807544,0.4214980421876973,0.4375,0.4375
,,29,473.2,97,130,0,0,47,70,241,19,16,0.7461538461538462,0.0,0.6714285714285714,0.5092983939137785,0.47252747252747246,0.6551724137931034,0.5517241379310345
