Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,11,25.4,4,7,1,1,0,0,9,0,0,0.5714285714285714,1.0,0.0,0.35433070866141736,0.5238095238095238,0.0,0.0
,,36,1067.0,186,305,1,1,113,174,486,11,28,0.6098360655737705,1.0,0.6494252873563219,0.4554826616682287,0.7530871176433641,0.3055555555555556,0.7777777777777778
,,73,2154.0,417,840,1,1,235,350,1070,83,24,0.49642857142857144,1.0,0.6714285714285714,0.49675023212627667,0.7226190476190476,1.1369863013698631,0.3287671232876712
,,26,551.0,133,206,1,1,38,65,305,7,24,0.6456310679611651,1.0,0.5846153846153846,0.5535390199637024,0.7434154841921833,0.2692307692307692,0.9230769230769231
,,30,651.0,112,166,1,1,62,80,287,15,11,0.6746987951807228,1.0,0.775,0.44086021505376344,0.8165662650602409,0.5,0.36666666666666664
,,8,102.2,9,14,1,1,1,2,20,0,2,0.6428571428571429,1.0,0.5,0.19569471624266144,0.7142857142857143,0.0,0.25
,,25,527.8,80,159,1,1,18,31,169,1,11,0.5031446540880503,1.0,0.5806451612903226,0.3201970443349754,0.6945966051261242,0.04,0.44
,,29,679.8,136,222,1,1,104,141,377,20,9,0.6126126126126126,1.0,0.7375886524822695,0.5545748749632246,0.783400421698294,0.6896551724137931,0.3103448275862069
,,31,550.8,88,140,2,2,28,43,206,1,19,0.6285714285714286,1.0,0.6511627906976745,0.374001452432825,0.7599114064230342,0.03225806451612903,0.6129032258064516
,,28,904.9,170,310,1,1,100,160,441,84,36,0.5483870967741935,1.0,0.625,0.487346668140126,0.7244623655913979,3.0,1.2857142857142858
,,34,732.0,126,242,1,1,105,149,358,19,29,0.5206611570247934,1.0,0.7046979865771812,0.4890710382513661,0.7417863812006583,0.5588235294117647,0.8529411764705882
,,29,795.0,130,251,1,1,62,81,323,19,29,0.5179282868525896,1.0,0.7654320987654321,0.40628930817610065,0.7611201285393405,0.6551724137931034,1.0
,,81,1879.0,152,346,1,1,120,257,425,8,86,0.4393063583815029,1.0,0.4669260700389105,0.2261841405002661,0.6354108094734712,0.09876543209876543,1.0617283950617284
,,9,114.5,11,19,1,1,2,2,25,5,2,0.5789473684210527,1.0,1.0,0.2183406113537118,0.8596491228070176,0.5555555555555556,0.2222222222222222
,,8,94.0,11,15,1,1,13,18,36,6,3,0.7333333333333333,1.0,0.7222222222222222,0.3829787234042553,0.8185185185185185,0.75,0.375
,,24,733.1,193,325,1,1,71,101,458,16,19,0.5938461538461538,1.0,0.7029702970297029,0.624744236802619,0.7656054836252855,0.6666666666666666,0.7916666666666666
,,33,798.0,106,205,1,1,59,82,272,14,22,0.5170731707317073,1.0,0.7195121951219512,0.3408521303258145,0.7455284552845528,0.42424242424242425,0.6666666666666666
,,31,1018.0,213,339,2,2,114,174,542,13,37,0.6283185840707964,1.0,0.6551724137931034,0.5324165029469549,0.7611636659546331,0.41935483870967744,1.1935483870967742
,,21,544.0,98,191,2,2,50,68,248,1,8,0.5130890052356021,1.0,0.7352941176470589,0.45588235294117646,0.749461040960887,0.047619047619047616,0.38095238095238093
,,12,331.5,36,76,1,1,17,21,90,6,7,0.47368421052631576,1.0,0.8095238095238095,0.27149321266968324,0.7610693400167085,0.5,0.5833333333333334
,,32,1199.2,185,401,2,2,86,171,458,57,40,0.4613466334164589,1.0,0.5029239766081871,0.3819212808539026,0.6547568700082153,1.78125,1.25
,,7,148.4,19,37,2,2,5,18,45,4,2,0.5135135135135135,1.0,0.2777777777777778,0.3032345013477089,0.5970970970970971,0.5714285714285714,0.2857142857142857
,,35,1000.9,94,180,1,1,69,91,258,88,25,0.5222222222222223,1.0,0.7582417582417582,0.2577680087920871,0.7601546601546602,2.5142857142857142,0.7142857142857143
,,22,149.0,12,28,1,1,7,10,32,1,4,0.42857142857142855,1.0,0.7,0.21476510067114093,0.7095238095238096,0.045454545454545456,0.18181818181818182
,,23,429.9,56,90,1,1,33,60,146,41,12,0.6222222222222222,1.0,0.55,0.3396138636892301,0.7240740740740742,1.7826086956521738,0.5217391304347826
,,19,399.4,96,155,1,1,58,82,251,8,29,0.6193548387096774,1.0,0.7073170731707317,0.628442663995994,0.7755573039601363,0.42105263157894735,1.5263157894736843
,,45,994.3,249,431,1,1,122,150,621,26,24,0.5777262180974478,1.0,0.8133333333333334,0.6245599919541386,0.7970198504769271,0.5777777777777777,0.5333333333333333
,,23,449.8,118,195,1,1,71,83,308,22,20,0.6051282051282051,1.0,0.8554216867469879,0.6847487772343264,0.820183297291731,0.9565217391304348,0.8695652173913043
,,20,354.9,48,62,1,1,26,47,123,9,8,0.7741935483870968,1.0,0.5531914893617021,0.3465765004226543,0.7757950125829329,0.45,0.4
