Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,10,113.6,16,37,4,17,3,3,39,0,5,0.43243243243243246,0.23529411764705882,1.0,0.3433098591549296,0.5559088500264971,0.0,0.5
,,6,83.8,14,29,8,19,7,7,43,0,1,0.4827586206896552,0.42105263157894735,1.0,0.513126491646778,0.6346037507562009,0.0,0.16666666666666666
,,10,170.9,15,35,8,23,2,2,40,2,2,0.42857142857142855,0.34782608695652173,1.0,0.23405500292568754,0.5921325051759835,0.2,0.2
,,25,365.2,24,74,19,58,7,7,74,1,6,0.32432432432432434,0.3275862068965517,1.0,0.20262869660460023,0.5506368437402921,0.04,0.24
,,33,709.0,43,109,31,78,7,7,124,1,8,0.3944954128440367,0.3974358974358974,1.0,0.17489421720733428,0.5973104367599781,0.030303030303030304,0.24242424242424243
,,9,92.0,8,14,0,0,2,2,18,2,2,0.5714285714285714,0.0,1.0,0.1956521739130435,0.5238095238095238,0.2222222222222222,0.2222222222222222
,,9,65.0,7,16,0,0,2,2,16,1,1,0.4375,0.0,1.0,0.24615384615384617,0.4791666666666667,0.1111111111111111,0.1111111111111111
,,4,61.0,2,11,1,4,4,4,9,2,1,0.18181818181818182,0.25,1.0,0.14754098360655737,0.4772727272727273,0.5,0.25
,,8,97.0,3,12,0,1,2,2,8,0,5,0.25,0.0,1.0,0.08247422680412371,0.4166666666666667,0.0,0.625
,,5,79.0,10,37,3,18,3,3,26,1,1,0.2702702702702703,0.16666666666666666,1.0,0.3291139240506329,0.47897897897897895,0.2,0.2
,,7,109.0,9,24,5,12,2,2,25,2,3,0.375,0.4166666666666667,1.0,0.22935779816513763,0.5972222222222222,0.2857142857142857,0.42857142857142855
,,5,146.0,8,28,7,24,2,2,25,1,4,0.2857142857142857,0.2916666666666667,1.0,0.17123287671232876,0.5257936507936508,0.2,0.8
,,18,217.3,26,78,14,44,10,10,76,1,15,0.3333333333333333,0.3181818181818182,1.0,0.34974689369535206,0.5505050505050505,0.05555555555555555,0.8333333333333334
,,7,258.4,24,72,4,26,10,10,62,1,15,0.3333333333333333,0.15384615384615385,1.0,0.23993808049535606,0.49572649572649574,0.14285714285714285,2.142857142857143
,,7,234.5,38,83,4,11,5,5,85,1,7,0.4578313253012048,0.36363636363636365,1.0,0.3624733475479744,0.6071558963125229,0.14285714285714285,1.0
,,13,221.2,42,85,25,56,9,9,118,1,11,0.49411764705882355,0.44642857142857145,1.0,0.5334538878842676,0.6468487394957984,0.07692307692307693,0.8461538461538461
,,10,202.5,23,56,11,31,5,5,62,0,3,0.4107142857142857,0.3548387096774194,1.0,0.30617283950617286,0.5885176651305684,0.0,0.3
,,10,127.7,12,27,8,21,4,4,36,0,5,0.4444444444444444,0.38095238095238093,1.0,0.28191072826938135,0.6084656084656085,0.0,0.5
,,22,249.4,16,62,6,37,2,2,40,1,5,0.25806451612903225,0.16216216216216217,1.0,0.16038492381716118,0.47340889276373144,0.045454545454545456,0.22727272727272727
,,4,135.0,13,36,5,21,6,6,37,0,1,0.3611111111111111,0.23809523809523808,1.0,0.2740740740740741,0.5330687830687831,0.0,0.25
,,5,96.1,7,13,0,0,3,3,17,0,0,0.5384615384615384,0.0,1.0,0.17689906347554632,0.5128205128205128,0.0,0.0
,,11,38.5,2,8,1,6,2,2,7,1,2,0.25,0.16666666666666666,1.0,0.18181818181818182,0.47222222222222215,0.09090909090909091,0.18181818181818182
,,35,625.7,46,139,36,104,8,8,136,0,20,0.33093525179856115,0.34615384615384615,1.0,0.21735656065206965,0.5590296993174692,0.0,0.5714285714285714
,,16,278.6,25,62,9,37,2,2,61,2,11,0.4032258064516129,0.24324324324324326,1.0,0.2189519023689878,0.548823016564952,0.125,0.6875
,,15,145.4,14,40,4,17,2,2,34,0,3,0.35,0.23529411764705882,1.0,0.23383768913342504,0.5284313725490196,0.0,0.2
,,16,166.6,11,35,2,12,2,2,26,3,5,0.3142857142857143,0.16666666666666666,1.0,0.156062424969988,0.4936507936507937,0.1875,0.3125
,,13,122.2,7,28,5,23,2,2,21,0,3,0.25,0.21739130434782608,1.0,0.1718494271685761,0.4891304347826087,0.0,0.23076923076923078
,,14,342.2,39,102,13,37,21,21,112,3,10,0.38235294117647056,0.35135135135135137,1.0,0.3272939801285798,0.5779014308426073,0.21428571428571427,0.7142857142857143
,,3,93.3,14,28,6,10,6,6,40,0,4,0.5,0.6,1.0,0.4287245444801715,0.7000000000000001,0.0,1.3333333333333333
,,4,94.2,9,23,4,11,6,6,28,3,3,0.391304347826087,0.36363636363636365,1.0,0.29723991507430997,0.5849802371541503,0.75,0.75
,,3,57.2,12,22,2,5,2,2,28,1,2,0.5454545454545454,0.4,1.0,0.4895104895104895,0.6484848484848484,0.3333333333333333,0.6666666666666666
,,3,64.7,5,22,1,8,2,2,13,0,1,0.22727272727272727,0.125,1.0,0.20092735703245748,0.45075757575757575,0.0,0.3333333333333333
,,12,133.4,7,32,3,10,9,9,26,2,3,0.21875,0.3,1.0,0.19490254872563717,0.50625,0.16666666666666666,0.25
,,9,114.5,11,19,1,1,2,2,25,5,2,0.5789473684210527,1.0,1.0,0.2183406113537118,0.8596491228070176,0.5555555555555556,0.2222222222222222
,,8,71.9,7,13,0,0,2,2,16,0,1,0.5384615384615384,0.0,1.0,0.22253129346314324,0.5128205128205128,0.0,0.125
